# Lifted counterexample, 5 -> 9:  C_{5->9}(p) < 0 on [64.67, 64.79]
claim 5 9 64.66999999999999 64.79 -
# p1 p2 lambda1 lambda2 tau0
64.66999999999999 64.671935483870968 1.3881244822636123 1.3887257142896547 0.0009765625
64.671935483870968 64.673870967741934 1.3881232502994405 1.3887244822641418 0.0009765625
64.673870967741934 64.6758064516129 1.3881220183960792 1.3887232502994407 0.0009765625
64.6758064516129 64.67774193548388 1.3881207865540548 1.3887220183960793 0.0009765625
64.67774193548388 64.679677419354846 1.3881195547733596 1.388720786554055 0.0009765625
64.679677419354846 64.681612903225812 1.3881183230539997 1.3887195547733597 0.0009765625
64.681612903225812 64.683548387096778 1.3881170913959457 1.3887183230539999 0.0009765625
64.683548387096778 64.685483870967744 1.3881158597992223 1.3887170913959459 0.0009765625
64.685483870967744 64.68741935483871 1.3881146282638077 1.3887158597992224 0.0009765625
64.68741935483871 64.689354838709676 1.388113396789697 1.3887146282638079 0.0009765625
64.689354838709676 64.691290322580642 1.3881121653768917 1.3887133967896972 0.0009765625
64.691290322580642 64.693225806451622 1.3881109340253825 1.3887121653768919 0.0009765625
64.693225806451622 64.695161290322588 1.388109702735165 1.3887109340253827 0.0009765625
64.695161290322588 64.697096774193554 1.3881084715062377 1.3887097027351651 0.0009765625
64.697096774193554 64.69903225806452 1.3881072403385895 1.3887084715062379 0.0009765625
64.69903225806452 64.700967741935486 1.3881060092322188 1.3887072403385896 0.0009765625
64.700967741935486 64.702903225806452 1.3881047781871241 1.388706009232219 0.0009765625
64.702903225806452 64.704838709677418 1.3881035472033014 1.3887047781871242 0.0009765625
64.704838709677418 64.706774193548384 1.38810231628074 1.3887035472033016 0.0009765625
64.706774193548384 64.708709677419364 1.3881010854194351 1.3887023162807401 0.0009765625
64.708709677419364 64.71064516129033 1.3880998546193868 1.3887010854194353 0.0009765625
64.71064516129033 64.712580645161296 1.3880986238805879 1.3886998546193869 0.0009765625
64.712580645161296 64.714516129032262 1.388097393203034 1.3886986238805881 0.0009765625
64.714516129032262 64.716451612903228 1.3880961625867194 1.3886973932030342 0.0009765625
64.716451612903228 64.718387096774194 1.3880949320316358 1.3886961625867196 0.0009765625
64.718387096774194 64.72032258064516 1.3880937015377919 1.388694932031636 0.0009765625
64.72032258064516 64.722258064516126 1.3880924711051643 1.388693701537792 0.0009765625
64.722258064516126 64.724193548387106 1.3880912407337611 1.3886924711051645 0.0009765625
64.724193548387106 64.726129032258072 1.3880900104235705 1.3886912407337613 0.0009765625
64.726129032258072 64.728064516129038 1.388088780174598 1.3886900104235707 0.0009765625
64.728064516129038 64.730000000000004 1.3880875499868244 1.3886887801745982 0.0009765625
64.730000000000004 64.73193548387097 1.388086319859726 1.3886875499862941 0.0009765625
64.73193548387097 64.733870967741936 1.3880850897948827 1.388686319860257 0.0009765625
64.733870967741936 64.735806451612902 1.3880838597907039 1.3886850897948828 0.0009765625
64.735806451612902 64.737741935483882 1.38808262984771 1.3886838597907041 0.0009765625
64.737741935483882 64.739677419354848 1.3880813999658936 1.3886826298477102 0.0009765625
64.739677419354848 64.741612903225814 1.3880801701452607 1.3886813999658938 0.0009765625
64.741612903225814 64.74354838709678 1.3880789403858018 1.3886801701452609 0.0009765625
64.74354838709678 64.745483870967746 1.3880777106875044 1.388678940385802 0.0009765625
64.745483870967746 64.747419354838712 1.388076481050375 1.3886777106875046 0.0009765625
64.747419354838712 64.749354838709678 1.3880752514744001 1.3886764810503751 0.0009765625
64.749354838709678 64.751290322580644 1.3880740219595797 1.3886752514744003 0.0009765625
64.751290322580644 64.753225806451624 1.3880727925059118 1.3886740219595799 0.0009765625
64.753225806451624 64.75516129032259 1.3880715631133826 1.3886727925059119 0.0009765625
64.75516129032259 64.757096774193556 1.3880703337819917 1.3886715631133828 0.0009765625
64.757096774193556 64.759032258064522 1.388069104511735 1.3886703337819919 0.0009765625
64.759032258064522 64.760967741935488 1.3880678753026141 1.3886691045117352 0.0009765625
64.760967741935488 64.762903225806454 1.3880666461546147 1.3886678753026143 0.0009765625
64.762903225806454 64.76483870967742 1.3880654170677353 1.3886666461546149 0.0009765625
64.76483870967742 64.766774193548386 1.3880641880419684 1.3886654170677355 0.0009765625
64.766774193548386 64.768709677419366 1.3880629590773164 1.3886641880419686 0.0009765625
64.768709677419366 64.770645161290332 1.3880617301737657 1.3886629590773165 0.0009765625
64.770645161290332 64.772580645161298 1.3880605013313183 1.3886617301737658 0.0009765625
64.772580645161298 64.774516129032264 1.3880592725499623 1.3886605013313185 0.0009765625
64.774516129032264 64.77645161290323 1.3880580438297043 1.3886592725499625 0.0009765625
64.77645161290323 64.778387096774196 1.3880568151705277 1.3886580438297045 0.0009765625
64.778387096774196 64.780322580645162 1.3880555865724327 1.3886568151705279 0.0009765625
64.780322580645162 64.782258064516128 1.3880543580354168 1.3886555865724328 0.0009765625
64.782258064516128 64.784193548387108 1.3880531295594696 1.3886543580354169 0.0009765625
64.784193548387108 64.786129032258074 1.3880519011445926 1.3886531295594697 0.0009765625
64.786129032258074 64.78806451612904 1.3880506727907704 1.3886519011445928 0.0009765625
64.78806451612904 64.790000000000006 1.3880494444980207 1.3886506727907706 0.0009765625
